Accident ID,Timestamp,Velocity (m/s),Speed (m/s),Speed (km/h),Impact Force (N),Vibration (Hz),Pressure (Pa),Temperature (Â°C),G-Force (g),Impact Force Percentage (%),Impact Force Classification
A0001,2024-09-25 04:24:01,29.74002532,29.74002532,107.0640912,446100.3798,127.291965,100308.0361,27.98179913,30.31602989,74.43264657,3
A0002,2024-09-25 04:24:02,23.07954196,23.07954196,83.08635105,346193.1294,450.3027661,101918.7691,27.26941752,23.52654634,57.76294307,3
A0003,2024-09-25 04:24:03,31.47623174,31.47623174,113.3144343,472143.4761,45.84258491,100485.4305,17.27364856,32.08586314,78.77798378,4
A0004,2024-09-25 04:24:04,15.86656135,15.86656135,57.11962085,237998.4202,278.959604,95786.4154,18.22295818,16.17386478,39.71046226,2
A0005,2024-09-25 04:24:05,16.47924941,16.47924941,59.32529787,247188.7411,375.8896261,102707.7441,18.44079292,16.79841938,41.24388375,2
A0006,2024-09-25 04:24:06,38.1701358,38.1701358,137.4124889,572552.037,118.4885462,99974.53452,25.52694885,38.90941468,95.53133183,4
A0007,2024-09-25 04:24:07,35.37619103,35.37619103,127.3542877,530642.8654,415.492553,97764.3431,22.26612825,36.06135681,88.53871156,4
A0008,2024-09-25 04:24:08,17.06457757,17.06457757,61.43247927,255968.6636,492.3595026,96143.62442,20.85741806,17.39508417,42.70882952,2
A0009,2024-09-25 04:24:09,34.45713621,34.45713621,124.0456903,516857.0431,261.2263707,104895.4962,23.9047416,35.12450174,86.23852244,4
A0010,2024-09-25 04:24:10,30.55116645,30.55116645,109.9841992,458267.4968,62.81110291,101449.8867,22.36615005,31.14288119,76.46275181,4
A0011,2024-09-25 04:24:11,13.36071548,13.36071548,48.09857573,200410.7322,464.0401493,103546.8561,23.15976809,13.61948571,33.43888926,2
A0012,2024-09-25 04:24:12,15.14711575,15.14711575,54.52961671,227206.7363,77.58120619,104094.0932,21.56223042,15.44048497,37.90985048,2
A0013,2024-09-25 04:24:13,24.45154729,24.45154729,88.02557024,366773.2093,152.1256293,96917.62305,18.69277518,24.92512466,61.19676624,3
A0014,2024-09-25 04:24:14,11.46221423,11.46221423,41.26397124,171933.2135,155.4079861,98430.48119,26.93376087,11.68421431,28.68736431,2
A0015,2024-09-25 04:24:15,24.37750316,24.37750316,87.75901139,365662.5475,78.31558448,104061.0147,18.70684358,24.84964645,61.01145032,3
A0016,2024-09-25 04:24:16,39.87511965,39.87511965,143.5504307,598126.7947,188.9525171,97375.63713,16.68857382,40.64742064,99.79852591,4
A0017,2024-09-25 04:24:17,16.36937478,16.36937478,58.92974921,245540.6217,458.4274552,103470.5555,23.82238467,16.6864167,40.96889207,2
A0018,2024-09-25 04:24:18,22.0991506,22.0991506,79.55694215,331487.259,63.37507508,101845.7092,23.29776542,22.52716677,55.30924228,3
A0019,2024-09-25 04:24:19,31.79266334,31.79266334,114.453588,476889.95,192.5453312,101992.8806,24.19774922,32.40842338,79.56994145,4
A0020,2024-09-25 04:24:20,12.88253805,12.88253805,46.37713699,193238.0708,358.1142027,100474.5233,18.12910978,13.13204694,32.24211787,2
A0021,2024-09-25 04:24:21,14.12165682,14.12165682,50.83796455,211824.8523,169.3647465,100665.6387,22.22944193,14.39516495,35.34335562,2
A0022,2024-09-25 04:24:22,11.57806106,11.57806106,41.68101981,173670.9159,230.3990336,101614.0172,15.54996275,11.80230485,28.97730306,2
A0023,2024-09-25 04:24:23,12.23284345,12.23284345,44.03823642,183492.6517,341.4703282,101587.2205,21.98998686,12.46976906,30.61607726,2
A0024,2024-09-25 04:24:24,14.11834925,14.11834925,50.82605731,211775.2388,439.8316242,95175.81924,25.10529736,14.39179333,35.33507752,2
A0025,2024-09-25 04:24:25,25.61529654,25.61529654,92.21506753,384229.448,372.6346172,95574.62023,28.45503506,26.11141339,64.1093709,3
A0026,2024-09-25 04:24:26,30.32457651,30.32457651,109.1684754,454868.6477,220.4812122,97850.62816,16.85251914,30.91190266,75.89564775,4
A0027,2024-09-25 04:24:27,32.32759959,32.32759959,116.3793585,484913.9938,252.7887217,100229.766,25.32243644,32.95372027,80.90876752,4
A0028,2024-09-25 04:24:28,36.22599977,36.22599977,130.4135992,543389.9966,48.21677234,97992.07,15.69211838,36.92762464,90.66559321,4
A0029,2024-09-25 04:24:29,39.22598499,39.22598499,141.213546,588389.7748,212.0258843,99096.63571,28.48232206,39.98571355,98.17388672,4
A0030,2024-09-25 04:24:30,38.23056404,38.23056404,137.6300306,573458.4607,195.4734444,96713.41131,23.0113186,38.9710133,95.68257024,4
A0031,2024-09-25 04:24:31,30.98822521,30.98822521,111.5576108,464823.3782,205.1145312,104905.5963,18.62782449,31.5884049,77.55661234,4
A0032,2024-09-25 04:24:32,34.10757266,34.10757266,122.7872616,511613.5899,483.23738,104287.8755,27.65966382,34.76816785,85.36364289,4
A0033,2024-09-25 04:24:33,39.65860575,39.65860575,142.7709807,594879.0862,498.9034975,104332.6256,29.94890389,40.4267133,99.25663994,4
A0034,2024-09-25 04:24:34,13.49551242,13.49551242,48.58384471,202432.6863,116.881734,97182.88308,27.04221458,13.75689339,33.77625592,2
A0035,2024-09-25 04:24:35,28.82505077,28.82505077,103.7701828,432375.7615,269.6725593,103537.4249,17.97397769,29.38333412,72.14266945,3
A0036,2024-09-25 04:24:36,13.67441195,13.67441195,49.22788301,205116.1792,203.7061175,96993.68886,21.02983851,13.93925785,34.22400151,2
A0037,2024-09-25 04:24:37,24.58995163,24.58995163,88.52382588,368849.2745,200.6541116,102137.1226,17.56012443,25.06620962,61.54316142,3
A0038,2024-09-25 04:24:38,35.92212207,35.92212207,129.3196395,538831.8311,273.9758022,95189.81476,21.68267706,36.61786144,89.90505514,4
A0039,2024-09-25 04:24:39,22.77918854,22.77918854,82.00507873,341687.828,130.1139644,99757.97248,15.96894233,23.22037567,57.01122548,3
A0040,2024-09-25 04:24:40,30.52859646,30.52859646,109.9029472,457928.9468,299.310476,95053.28465,20.51258545,31.11987406,76.40626414,4
A0041,2024-09-25 04:24:41,39.00753363,39.00753363,140.4271211,585113.0044,420.4501016,102969.3478,26.67077695,39.76303122,97.62715172,4
A0042,2024-09-25 04:24:42,14.48664078,14.48664078,52.15190682,217299.6118,24.54436002,98490.41167,16.24356331,14.76721792,36.25682903,2
A0043,2024-09-25 04:24:43,21.80960328,21.80960328,78.5145718,327144.0492,79.54857702,96321.15258,27.53826296,22.2320115,54.58456996,3
A0044,2024-09-25 04:24:44,12.29486629,12.29486629,44.26151863,184422.9943,462.3448133,101436.8796,24.44721016,12.53299316,30.77130659,2
A0045,2024-09-25 04:24:45,26.4243727,26.4243727,95.12774173,396365.5905,214.1169741,97057.38282,19.28532208,26.93615974,66.13430799,3
